Note: I didn't output to file, I just copy/pasted from my terminal

USING A HASH ARRAY OF SIZE: 25000
COLLISION #1; CYCLES FOR COLLISION: 1286
COLLISION #2; CYCLES FOR COLLISION: 69
COLLISION #3; CYCLES FOR COLLISION: 1498
COLLISION #4; CYCLES FOR COLLISION: 33
COLLISION #5; CYCLES FOR COLLISION: 1054
COLLISION #6; CYCLES FOR COLLISION: 1091
COLLISION #7; CYCLES FOR COLLISION: 220
COLLISION #8; CYCLES FOR COLLISION: 411
COLLISION #9; CYCLES FOR COLLISION: 496
COLLISION #10; CYCLES FOR COLLISION: 754
COLLISION #11; CYCLES FOR COLLISION: 327
COLLISION #12; CYCLES FOR COLLISION: 265
COLLISION #13; CYCLES FOR COLLISION: 1274
COLLISION #14; CYCLES FOR COLLISION: 78
COLLISION #15; CYCLES FOR COLLISION: 1153
