Note: I didn't output to file, I just copy/pasted from my terminal

USING A HASH ARRAY OF SIZE: 4096
COLLISION #1; CYCLES FOR COLLISION: 829
COLLISION #2; CYCLES FOR COLLISION: 3374
COLLISION #3; CYCLES FOR COLLISION: 2680
COLLISION #4; CYCLES FOR COLLISION: 2779
COLLISION #5; CYCLES FOR COLLISION: 2491
COLLISION #6; CYCLES FOR COLLISION: 5963
COLLISION #7; CYCLES FOR COLLISION: 9854
COLLISION #8; CYCLES FOR COLLISION: 5488
COLLISION #9; CYCLES FOR COLLISION: 1446
COLLISION #10; CYCLES FOR COLLISION: 723
COLLISION #11; CYCLES FOR COLLISION: 8830
COLLISION #12; CYCLES FOR COLLISION: 3983
COLLISION #13; CYCLES FOR COLLISION: 7133
COLLISION #14; CYCLES FOR COLLISION: 2863
COLLISION #15; CYCLES FOR COLLISION: 5064

Average collisions: 4233 cycles
